@relation SomeContent

@attribute A13 {p,g,s}
@attribute A4 {t,y,l,u}
@attribute A15 numeric
@attribute A12 {f,t}
@attribute A7 {dd,v,ff,h,z,j,o,bb,n}
@attribute A3 numeric
@attribute A16 {+,-}
@attribute A2 numeric
@attribute A6 {ff,e,m,q,d,aa,i,w,k,x,cc,j,r,c}
@attribute A1 {a,b}
@attribute A14 numeric
@attribute A8 numeric
@attribute A11 numeric
@attribute A9 {f,t}
@attribute A5 {g,p,gg}
@attribute A10 {t,f}

@data
g,u,1210,f,bb,4.25,+,39.5,c,b,117,6.5,16,t,g,t
g,u,5,t,h,0.835,-,23.58,i,b,220,0.085,0,f,g,f
g,u,5,t,v,0.75,-,19.75,c,a,140,0.795,5,t,g,t
g,u,0,t,bb,5,-,43.17,i,b,141,2.25,0,f,g,f
s,y,0,f,v,10,+,20.5,c,b,40,2.5,0,t,p,f
g,u,0,t,h,0.5,+,44.33,i,b,320,5,0,t,g,f
g,u,0,f,v,1.54,-,26.25,w,b,100,0.125,0,f,g,f
g,u,0,f,v,1,-,25.25,aa,b,200,0.5,0,f,g,f
g,y,0,f,h,4.415,+,18.83,c,a,240,3,0,t,p,f
p,u,0,f,v,2.165,-,33.67,c,b,120,1.5,0,f,g,f
g,u,0,f,h,8.585,+,19.17,cc,a,96,0.75,7,t,g,t
g,y,375,f,h,0.29,+,43,cc,b,100,1.75,8,t,p,t
g,y,28,t,bb,1.04,-,30.08,i,b,132,0.5,10,t,p,t
g,u,0,t,bb,13,+,47,i,a,0,5.165,9,t,g,t
g,u,3376,f,z,15,+,68.67,e,a,0,0,14,t,g,t
g,y,400,t,bb,1.75,-,37.5,c,b,164,0.25,0,t,p,f
g,y,0,t,h,4,-,27.83,i,b,75,5.75,2,t,p,t
g,y,17,f,h,2,-,29.5,e,?,256,2,0,f,p,f
g,u,0,t,v,3.625,-,28.58,aa,b,100,0.25,0,f,g,f
g,u,3,t,v,1.5,-,27.83,w,b,100,2.25,1,f,g,t
g,u,2510,t,bb,2.5,+,47.67,m,b,410,2.5,12,t,g,t
g,y,0,f,ff,1.25,-,22.25,ff,a,280,3.25,0,f,p,f
g,u,0,f,v,9.75,-,21.5,c,b,140,0.25,0,t,g,f
g,u,0,f,v,0,+,44.33,c,a,0,2.5,0,t,g,f
g,u,3000,f,v,19.5,+,57.08,c,a,0,5.5,7,t,g,t
s,u,0,f,v,4.46,-,17.67,c,b,80,0.25,0,f,g,f
g,y,59,t,v,0.54,+,21.92,x,b,840,0.04,1,t,p,t
g,u,2079,f,v,1.46,+,32.17,w,a,120,1.085,16,t,g,t
g,u,0,t,v,10.5,+,21.33,c,b,0,3,0,t,g,f
g,u,53,f,j,1.835,-,23,j,a,200,0,1,f,g,t
g,u,50,t,h,7.08,-,55.75,k,a,100,6.75,3,t,g,t
g,u,20,t,v,1.71,+,25.08,x,b,395,1.665,1,t,g,t
g,u,2503,f,v,1.835,+,20.67,q,a,220,2.085,5,t,g,t
g,u,1,t,v,1.79,-,23.58,c,b,136,0.54,0,f,g,f
g,u,108,t,h,1.25,-,29.42,c,b,400,0.25,2,f,g,t
g,u,0,t,h,3.375,-,35,c,b,0,8.29,0,f,g,f
g,y,1,t,v,3,+,21,d,b,160,1.085,8,t,p,t
g,u,0,t,v,12.25,+,56.75,m,b,200,1.25,4,t,g,t
g,u,2010,f,v,0.625,-,?,k,b,380,0.25,0,f,g,f
g,u,0,f,v,10.5,+,?,x,b,0,6.5,0,t,g,f
g,u,0,f,ff,0.54,-,26.83,k,b,100,0,0,f,g,f
g,u,245,f,v,5.875,+,23.25,q,a,120,3.17,10,t,g,t
g,u,364,f,v,0.29,-,19.5,k,b,280,0.29,0,f,g,f
g,u,1,t,h,2.085,-,25.33,c,a,360,2.75,0,t,g,f
g,u,146,f,ff,2.835,-,31.25,ff,b,176,0,5,f,g,t
g,u,713,t,h,1.585,+,27.25,cc,b,583,1.835,12,t,g,t
g,u,105,t,ff,1.5,-,?,ff,a,200,0,2,f,g,t
g,u,26726,f,v,7.5,+,18.75,q,a,?,2.71,5,t,g,t
g,u,0,t,v,2.5,-,32.33,c,b,280,1.25,0,f,g,f
g,u,0,f,h,11.125,+,23.17,x,b,100,0.46,1,t,g,t
g,u,19,f,v,12,+,30.67,c,a,220,2,1,t,g,t
g,u,10,f,v,2.25,-,22.17,i,b,160,0.125,0,f,g,f
g,u,1,f,ff,0.835,-,40.92,ff,b,130,0,0,t,g,f
g,u,5552,f,v,12.625,-,23.25,c,b,0,0.125,2,f,g,t
g,u,2000,t,h,8.5,+,45,cc,b,88,14,1,t,g,t
g,u,560,t,v,10.75,+,22.58,q,a,0,0.415,5,t,g,t
g,y,0,f,v,11,-,25,aa,a,120,4.5,0,t,p,f
g,u,0,t,h,13.585,+,49.83,k,a,0,8.5,0,t,g,f
g,y,0,f,ff,1.585,-,33.92,ff,a,320,0,0,t,p,f
g,u,591,f,v,9,+,18.92,aa,a,88,0.75,2,t,g,t
g,y,1,f,bb,3,-,?,i,b,0,7,0,f,p,f
g,u,582,t,v,1.5,+,23.25,q,b,0,2.375,3,t,g,t
g,u,134,t,n,15,+,34.75,r,b,0,5.375,9,t,g,t
g,u,0,t,v,11.75,-,21.75,c,a,180,0.25,0,f,g,f
g,y,300,t,v,11.625,+,23.33,w,b,160,0.835,0,t,p,f
s,u,27,t,ff,0.165,-,53.33,ff,a,62,0,0,f,g,f
g,y,0,f,v,10.125,-,38.25,k,b,160,0.125,0,f,p,f
g,y,4,t,ff,4.25,-,56.83,ff,a,0,5,0,f,p,f
g,u,4500,t,bb,1.335,-,34.42,i,b,440,0.125,0,f,g,f
g,u,0,t,v,0.21,+,38.67,k,b,280,0.085,0,t,g,f
g,y,8000,t,h,0.165,+,32.25,c,b,432,3.25,1,t,p,t
g,y,0,f,ff,0,-,52.17,ff,a,0,0,0,f,p,f
g,u,18,f,v,0.375,-,15.75,c,a,120,1,0,f,g,f
g,u,0,f,v,0.375,+,28.17,q,a,80,0.585,4,t,g,t
g,u,300,f,h,4.46,+,31.92,cc,b,311,6.04,3,t,g,t
g,u,0,f,v,9,-,22.25,aa,b,0,0.085,0,f,g,f
g,y,0,f,h,3.04,+,28.5,x,a,70,2.54,1,t,p,t
g,u,0,t,v,2.5,-,31.83,aa,b,523,7.5,0,t,g,f
g,y,0,t,v,1.75,-,29.58,k,a,280,1.25,0,f,p,f
s,u,0,f,ff,6,-,69.5,ff,a,0,0,0,f,g,f
g,u,284,t,h,11.5,+,23.08,w,b,290,2.125,11,t,g,t
g,u,2000,t,v,0.875,+,24.17,q,b,520,4.625,2,t,g,t
g,u,0,t,v,2.71,-,58.58,c,b,320,2.415,0,f,g,f
g,u,0,t,v,0.165,-,19.5,q,a,380,0.04,0,f,g,f
g,u,2,f,bb,3.75,-,48.08,i,b,100,1,0,f,g,f
g,u,500,t,dd,5.29,+,30,e,a,99,2.25,5,t,g,t
g,y,87,f,ff,0.585,-,23.58,ff,a,120,0.125,0,f,p,f
g,u,960,f,j,4,+,46,j,a,100,0,0,t,g,f
g,y,2,t,v,0.42,-,36.17,w,b,309,0.29,0,f,p,f
g,u,551,t,h,11.75,+,23,x,a,300,0.5,2,t,g,t
g,y,1,f,h,0.585,-,23.92,cc,b,240,0.125,0,f,p,f
g,y,2000,t,bb,0.08,+,34.08,m,b,280,0.04,1,t,p,t
g,u,13,f,h,10.25,-,18.17,c,b,320,1.085,0,f,g,f
g,u,639,t,h,3.25,+,36.67,q,b,102,9,0,t,g,f
g,y,2,f,v,7,-,44.83,c,b,160,1.625,0,f,p,f
g,u,0,t,h,5.04,+,42.17,q,b,92,12.75,0,t,g,f
g,u,2200,f,v,15,+,52.83,c,a,0,5.5,14,t,g,t
g,u,769,f,ff,0.585,-,19.58,ff,b,350,0,3,f,g,t
g,u,948,f,h,0.42,+,41.92,c,b,220,0.21,6,t,g,t
g,u,809,t,v,1.25,-,22.92,q,a,120,0.25,0,f,g,f
g,u,286,f,v,14.5,-,28.67,d,b,0,0.125,0,f,g,f
g,u,2206,f,v,9.5,+,19.17,w,b,120,1.5,0,t,g,f
g,y,113,t,v,0.125,+,36.75,c,b,232,1.5,0,f,p,f
g,u,22,f,v,3,-,25.17,c,b,0,1.25,1,f,g,t
g,u,0,t,z,11,+,65.42,e,b,22,20,7,t,g,t
g,u,5200,f,ff,11.25,-,?,ff,a,?,0,0,f,g,f
s,u,0,t,v,0.75,-,23,m,b,320,0.5,0,f,g,f
g,u,0,t,h,1.5,+,32.75,cc,b,0,5.5,3,t,g,t
g,y,0,f,v,2.415,-,24.5,c,a,120,0,0,f,p,f
g,u,500,f,h,3,+,24.75,q,a,0,1.835,19,t,g,t
g,u,0,f,v,0.835,+,20.42,q,a,0,1.585,1,t,g,t
g,u,1200,f,z,21.5,+,40.25,e,b,0,20,11,t,g,t
g,u,158,f,v,8.17,+,20.17,aa,b,60,1.96,14,t,g,t
g,u,0,t,v,6.5,+,41.17,q,a,145,0.5,3,t,g,t
g,u,0,f,v,7,-,20,c,b,0,0.5,0,f,g,f
g,y,1000,t,v,4,+,13.75,w,b,120,1.75,2,t,p,t
g,y,0,t,v,11,-,22.5,q,a,268,3,0,t,p,f
g,u,0,f,h,0.67,-,24.58,aa,a,400,1.75,0,t,g,f
s,u,0,f,v,1,+,23.25,c,b,300,0.835,0,t,g,f
g,u,484,f,h,5.415,-,19.17,i,a,80,0.29,0,f,g,f
g,u,0,t,v,2.5,-,35,i,b,210,1,0,f,g,f
g,y,0,t,v,0.5,-,40.92,m,b,130,0.5,0,f,p,f
g,y,225,t,v,1.5,-,28.75,c,b,0,1.5,0,t,p,f
g,u,0,t,bb,14.585,-,26.67,i,b,178,0,0,f,g,f
s,y,0,f,?,2.71,-,26.5,?,?,80,0.085,0,f,p,f
g,u,11202,f,v,6.5,+,52.5,k,b,0,6.29,15,t,g,t
g,u,0,f,v,15,+,51.58,c,b,0,8.5,9,t,g,t
g,u,0,f,v,1.335,-,41.17,d,b,168,0.165,0,f,g,f
g,u,10,f,ff,2,-,57.58,ff,a,0,6.5,1,f,g,t
g,u,6,f,v,3,+,20.67,q,a,100,0.165,3,t,g,t
g,u,18,f,ff,0.29,-,36.58,ff,a,200,0,10,f,g,t
g,u,0,t,v,1.54,-,21.83,k,b,356,0.085,0,f,g,f
g,u,112,t,v,1.25,-,42.83,m,b,352,13.875,1,f,g,t
g,y,0,f,h,2.54,+,22.67,c,b,0,2.585,0,t,p,f
g,u,1704,t,v,3,+,47.42,x,a,519,13.875,2,t,g,t
g,y,0,f,ff,5,-,21.08,ff,a,0,0,0,f,p,f
g,u,1062,t,v,12.5,-,25.25,d,a,180,1,0,f,g,f
g,y,0,t,bb,5.085,-,34,i,b,480,1.085,0,f,p,f
g,u,350,f,v,9.585,-,19.5,aa,b,80,0.79,0,f,g,f
g,u,0,t,bb,4,+,23.25,c,b,160,0.25,0,t,g,f
g,y,100,t,h,1.375,-,52.33,c,b,200,9.46,0,t,p,f
g,u,3,t,v,0.875,-,25.92,k,b,174,0.375,2,f,g,t
s,u,0,t,bb,7.5,-,32.33,e,b,420,1.585,0,t,g,f
s,u,0,f,v,0.5,-,44.25,m,b,400,10.75,0,t,g,f
g,u,150,f,v,8.665,+,26.08,aa,a,160,1.415,0,t,g,f
g,u,0,f,bb,2.5,-,34.75,cc,b,348,0.5,0,f,g,f
g,u,150,f,v,1.835,+,20.42,c,b,100,2.25,1,t,g,t
g,u,0,f,v,5.71,-,18.58,d,b,120,0.54,0,f,g,f
g,u,15000,f,bb,0.29,+,47.67,c,b,0,15,20,t,g,t
g,u,6,t,v,5.25,+,34.17,w,b,290,0.085,0,f,g,f
g,u,2279,t,v,4,+,?,x,b,290,5,3,t,g,t
g,u,3,f,ff,2.29,-,49.17,ff,b,200,0.29,0,f,g,f
g,y,500,t,v,9.25,+,18.92,c,a,80,1,4,t,p,t
g,u,0,f,v,2.875,-,15.92,q,a,120,0.085,0,f,g,f
g,y,1,t,ff,3.54,-,18.83,ff,b,180,0,0,f,p,f
g,u,7,t,bb,10.915,-,19.33,c,b,200,0.585,2,f,g,t
g,u,0,t,v,6.665,+,44.17,q,a,0,7.375,3,t,g,t
g,y,456,f,bb,2.5,-,24.33,i,a,200,4.5,0,f,p,f
g,u,50000,t,v,1.54,+,34.17,cc,b,520,1.54,1,t,g,t
g,u,730,f,v,16.165,+,31.67,d,b,250,3,9,t,g,t
g,u,0,f,bb,2.25,-,43.17,i,b,560,0.75,0,t,g,f
s,u,0,t,h,0.5,-,30.33,d,b,252,0.085,0,f,g,f
g,u,0,f,h,10.5,+,22.67,q,b,100,1.335,0,t,g,f
g,y,4,f,ff,3,-,51.83,ff,b,180,1.5,0,f,p,f
s,u,0,f,v,12,+,48.33,m,b,110,16,0,t,g,f
g,y,0,f,v,2.21,-,25.67,aa,b,188,4,0,t,p,f
g,u,396,f,v,10.04,+,22.58,x,b,60,0.04,9,t,g,t
g,u,12,f,z,7,-,62.75,e,b,0,0,0,f,g,f
g,y,1000,t,v,4,-,19.17,i,b,360,1,0,f,p,f
g,y,2100,f,v,0.125,-,28.17,k,b,216,0.085,0,f,p,f
s,u,0,t,v,0.75,-,23,m,b,320,0.5,0,t,g,f
g,y,1,f,h,2.04,-,29.83,x,b,128,0.04,0,f,p,f
g,y,314,f,h,0.5,+,54.42,k,b,180,3.96,0,t,p,f
g,u,350,t,v,1.5,-,52.42,d,b,0,3.75,0,f,g,f
g,u,0,t,h,2.335,-,32.75,d,b,292,5.75,0,f,g,f
g,y,0,f,h,10.085,-,21.08,e,b,260,1.25,0,f,p,f
g,u,10000,t,v,1.04,+,42.08,w,b,500,5,6,t,g,t
s,u,0,t,h,2.5,-,30.67,cc,b,340,2.25,0,f,g,f
g,u,122,t,v,1.5,-,32.25,c,?,372,0.25,0,f,g,f
g,y,0,t,j,11.5,+,21.67,j,a,0,0,11,t,p,t
g,u,5,t,h,7,-,37.75,q,b,300,11.5,7,t,g,t
g,u,351,f,v,8.5,-,20.83,c,a,0,0.165,0,f,g,f
g,u,0,t,v,2,-,36.67,i,b,221,0.25,0,f,g,f
g,u,3290,t,v,0.83,+,31.67,x,b,303,1.335,8,t,g,t
s,u,0,t,v,5.5,-,30.25,k,a,100,5.5,0,f,g,f
g,u,0,t,v,3.75,+,28.75,c,a,371,1.085,1,t,g,t
g,u,0,f,v,3,+,20.83,aa,a,100,0.04,0,t,g,f
g,u,857,t,h,1.75,+,33.5,x,b,253,4.5,4,t,g,t
g,u,0,f,v,0.835,-,26.17,cc,b,100,1.165,0,f,g,f
g,y,0,f,v,1.25,-,29.83,k,b,224,0.25,0,f,p,f
g,u,0,f,v,4,-,39.08,c,a,480,3,0,f,g,f
g,u,1,f,ff,1.665,-,27.33,ff,a,340,0,0,f,g,f
g,u,0,f,v,6,+,25.17,c,b,0,1,3,t,g,t
g,y,67,t,v,1.5,-,22.58,aa,b,120,0.54,0,f,p,f
g,y,347,t,v,0.46,-,23.58,w,b,208,2.625,6,t,p,t
g,u,0,t,v,9,-,24.08,aa,b,0,0.25,0,f,g,f
g,y,17,t,h,12.5,-,26.17,k,b,0,1.25,0,f,p,f
g,u,1260,t,v,8,+,47.75,c,a,0,7.875,6,t,g,t
g,y,0,f,v,5,-,?,aa,b,0,8.5,0,t,p,f
g,u,5000,f,v,19.5,+,31.33,c,b,0,7,16,t,g,t
g,u,2072,f,h,2.5,+,32.83,cc,b,160,2.75,6,t,g,t
g,y,0,t,h,2.25,-,40.92,x,b,176,10,0,t,p,f
g,y,2,f,v,0.665,-,19.58,c,a,2000,1,1,f,p,t
g,u,0,f,ff,0.585,-,50.75,ff,b,145,0,0,f,g,f
g,u,0,t,v,0.5,+,25.75,c,b,312,1.46,5,t,g,t
g,u,0,t,v,3.5,-,?,d,a,300,3,0,t,g,f
g,u,16,f,v,2.5,-,34.08,c,b,460,1,0,f,g,f
g,y,147,f,ff,1.04,-,24.5,ff,a,180,0.5,3,t,p,t
g,u,50,t,v,2.04,-,27.67,w,a,180,0.25,0,f,g,f
g,y,0,t,v,0.29,-,25.67,c,b,160,1.5,0,f,p,f
g,u,168,f,h,9.335,+,28.67,q,b,381,5.665,6,t,g,t
g,u,0,t,bb,18.5,+,56.58,d,b,0,15,17,t,g,t
g,y,0,t,v,5.5,-,34,c,b,60,1.5,0,f,p,f
g,y,2,t,n,0.75,-,21.42,r,b,132,0.75,0,f,p,f
g,u,0,t,bb,12.5,-,27.42,aa,b,720,0.25,0,f,g,f
s,y,0,f,v,1.5,-,31.08,w,b,160,0.04,0,f,p,f
g,u,500,f,bb,6.5,+,40,aa,b,0,3.5,1,t,g,t
p,?,0,f,?,0,-,34.58,?,b,?,0,0,f,?,f
g,u,600,f,v,2.75,+,24.83,c,b,?,2.25,6,t,g,t
g,u,126,f,ff,0.335,-,16.08,ff,a,160,0,1,f,g,t
g,u,19,f,ff,1.125,-,31.25,ff,b,96,0,1,f,g,t
p,l,100000,t,o,22,+,17.5,ff,b,450,0,0,f,gg,f
g,y,0,f,dd,1.21,-,18.33,e,b,100,0,0,f,p,f
g,y,0,f,j,1.75,-,21.75,j,a,160,0,0,f,p,f
g,u,0,f,v,9.54,+,18.83,aa,a,100,0.085,0,t,g,f
g,y,1,t,ff,13.5,-,25.25,ff,a,200,2,1,f,p,t
g,u,11177,f,v,0.54,+,32.33,cc,a,440,0.04,0,t,g,f
g,y,0,t,v,0.75,-,31.58,aa,b,320,3.5,0,f,p,f
g,u,0,f,v,2.75,+,33.58,m,b,204,4.25,6,t,g,t
g,u,0,f,v,11,+,22.08,cc,b,100,0.665,0,t,g,f
g,y,537,f,h,1,-,27.83,d,b,176,3,0,f,p,f
g,u,5,t,v,12,-,25,k,b,120,2.25,2,t,g,t
g,y,475,t,v,13.335,-,24.5,aa,b,120,0.04,0,f,p,f
g,y,0,f,dd,0.5,-,20.83,e,a,260,1,0,f,p,f
g,u,0,f,h,4.04,+,41.17,cc,b,320,7,8,t,g,t
g,u,327,f,h,1.5,+,23.92,d,b,200,1.875,6,t,g,t
g,u,1391,f,v,7,+,20.42,c,b,200,1.625,3,t,g,t
g,u,4000,t,bb,2.25,-,26.92,i,b,640,0.5,0,f,g,f
g,u,500,t,v,1,-,28.5,q,a,167,1,2,t,g,t
g,y,6,f,v,0.415,-,23.75,c,b,128,0.04,2,f,p,t
g,u,0,t,v,6.5,-,34.08,aa,b,443,0.125,0,t,g,f
g,u,768,f,v,0.125,+,20.08,q,?,240,1,1,f,g,t
g,u,0,t,v,10.5,+,45.83,q,a,0,5,7,t,g,t
g,y,15,f,v,28,+,56.42,c,b,0,28.5,40,t,p,t
g,u,0,t,bb,3.54,-,28.58,i,a,171,0.5,0,t,g,f
g,u,0,f,v,0.665,+,23.92,c,b,100,0.165,0,f,g,f
s,y,0,f,v,0.335,-,16.92,k,b,200,0.29,0,f,p,f
g,u,0,f,ff,19,-,49.58,ff,b,94,0,1,t,g,t
g,y,0,t,h,10,-,19.67,k,b,140,0.835,0,t,p,f
g,u,0,t,z,5.5,+,67.75,e,b,0,13,1,t,g,t
g,u,0,t,bb,0.25,+,26.17,i,b,0,0,0,t,g,f
g,u,2690,f,v,6.04,+,48.08,k,b,0,0.04,0,f,g,f
g,u,824,f,h,0.5,+,24.5,q,a,280,1.5,0,t,g,f
g,u,0,f,h,7,-,52.5,aa,a,0,3,0,f,g,f
s,y,0,t,v,2.71,-,30.58,m,b,80,0.125,0,f,p,f
g,u,21,t,h,3.25,-,25.67,c,b,416,2.29,1,f,g,t
g,u,400,t,v,9.5,+,19.33,q,b,60,1,0,t,g,f
g,u,0,t,h,0.335,-,25.58,k,b,340,3.5,0,f,g,f
g,u,50,f,v,4.25,-,36.5,q,b,454,3.5,0,f,g,f
g,u,251,t,h,0.75,-,27.67,q,b,220,0.165,0,f,g,f
g,u,0,f,v,3.5,-,29.83,c,b,216,0.165,0,f,g,f
g,u,0,t,v,1.665,-,28.58,q,a,440,2.415,0,t,g,f
g,u,5860,t,h,0.875,+,25,x,a,160,1.04,0,t,g,f
g,u,100,f,ff,0.165,+,64.08,ff,a,232,0,1,t,g,t
g,y,1236,t,h,2.04,+,41,q,a,455,0.125,23,t,p,t
g,u,44,f,v,0.415,-,20.67,c,b,0,0.125,0,f,g,f
